# logrho energy radius_cm pressure temperature
-7.9572 10.528 16650320228375.03 13372.111832804181 11972.917776081664
-7.9431 10.512 16554748621604.568 14021.678337057581 12064.240881970018
-7.9289 10.492 16455936033217.059 14706.184154045619 12156.26055237381
-7.9067 10.468 16301313156583.707 15834.341239145762 12305.520832818871
-7.8872 10.444 16166745086689.354 16896.62634048706 12436.552283881383
-7.8653 10.422 16014839499182.424 18171.88584784411 12589.254117941662
-7.8516 10.403 15919249540090.004 19015.160697745803 12688.199542156104
-7.8323 10.381 15784200557500.16 20272.158820696623 12829.21253709402
-7.8146 10.357 15657506134242.81 21493.146554191768 12962.835207050688
-7.792 10.33 15496106429540.674 23163.276959874467 13137.114949600631
-7.7741 10.304 15368185377226.025 24586.68629289733 13286.175963958023
-7.7483 10.271 15185272527024.99 26785.514945323343 13505.168278550382
-7.7256 10.237 15018362769174.096 28900.143553494676 13711.974597009239
-7.6969 10.203 14805483359763.88 31834.644175564354 13995.873225726178
-7.6871 10.184 14734065308280.504 32907.887201217316 14096.133365221667
-7.6668 10.154 14582184557321.229 35269.55661130865 14321.878992735425
-7.6505 10.126 14455149595551.676 37307.830931847195 14514.430494302622
-7.6331 10.092 14319326461084.074 39646.05690612776 14733.298912320059
-7.606 10.046 14106607751699.037 43631.48555506765 15111.23640945881
-7.5877 10.01 13957980604795.113 46590.7820110128 15392.17526952456
-7.5675 9.969 13788676751035.229 50153.35611066597 15732.581854464666
-7.5441 9.924 13593227659251.838 54663.82281334197 16162.182261066126
-7.5217 9.883 13400548981785.104 59401.853997036684 16595.869074375598
-7.4987 9.852 13201479040038.662 64669.573982980764 17060.823890031243
-7.4846 9.827 13080447152702.613 68076.93586937418 17338.039977541375
-7.4594 9.797 12865379176091.621 74507.50146362526 17827.89222579669
-7.4433 9.775 12732761096168.87 78849.69177453771 18130.091670170208
-7.4284 9.752 12610217883461.29 83042.42061523152 18399.24489796672
-7.413 9.725 12483104050913.158 87558.84014131156 18676.69385644388
-7.3933 9.688 12323174280080.98 93626.76114879118 19019.5396044231
-7.3741 9.643 12168094966185.584 99884.93699365058 19355.304139797456
-7.348 9.575 11957009946637.287 109043.55455436601 19806.147089717397
-7.3238 9.496 11763121708459.838 118249.68703831048 20239.510279887672
-7.3025 9.41 11593714207257.135 127028.157838881 20630.03667310707
-7.2877 9.334 11474204622946.008 133536.5033327187 20912.21330155289
-7.2748 9.241 11369008482651.18 139508.28503573677 21168.983285107388
-7.2526 9.039 11187230608421.303 150556.66982669797 21637.147217791102
-7.2375 8.787 11059171438595.7 158708.43165508678 21978.59872784823
-7.2209 7.799 10919998796874.55 168306.15557016613 22387.21138568338
-7.201 -8.766 10747874595706.512 180883.93616437545 22919.228792654605
-7.1852 -9.05 10607733260156.967 191778.5364482653 23382.987634799123
-7.1688 -9.222 10457372796349.41 203985.83002685604 23916.630833291067
-7.1573 -9.319 10349576773993.096 213304.4913146575 24322.04009073816
-7.138 -9.438 10165355950662.338 230250.19146104043 25072.636247771217
-7.1225 -9.514 10012040334074.297 245188.4453809514 25733.567644261097
-7.1086 -9.573 9872396525770.203 259656.97902737823 26375.457408893428
-7.093 -9.63 9712311222043.48 277204.3237577702 27139.384876415894
-7.0794 -9.674 9570234743944.861 293629.7125756696 27841.972488835647
-7.0672 -9.711 9441099843944.55 309385.5315451652 28503.618718608916
-7.052 -9.753 9279457574496.994 330217.4352670764 29362.971257566955
-7.0373 -9.79 9122683136473.92 351722.3773787032 30220.385498282703
